Address,City,State,Zip,Price,pricePerSquareFoot,Bedrooms,Bathrooms,Living Area,Lot Size (Acres),Lot Size (Sqft),Year Built,Days on Zillow,Zestimate,Rent Zestimate,Last Sold Date,Property Type,Listing Status
19545 McCray Dr,Abingdon,VA,24211,385000,131,3,3.0,2944,0.51,22215.600000000002,1977,1,,2352,2025-01-31,singleFamily,recentlySold
238 Preston St,Abingdon,VA,24210,280500,125,3,2.0,2250,10018.8,,1934,1,275200,1386,2025-01-31,singleFamily,recentlySold
13272 College Dr,Meadowview,VA,24361,397000,169,4,3.0,2346,3.6,156816.0,1975,1,404600,2178,2025-01-31,singleFamily,recentlySold
27002 Roan Ct,Chantilly,VA,20152,1600000,298,5,5.0,5372,3.02,131551.2,2007,1,1522000,5908,2025-01-31,singleFamily,recentlySold
2001 Circlestone Ct,South Chesterfield,VA,23834,141000,125,2,2.0,1128,11.0,479160.0,1985,1,140000,1680,2025-01-31,singleFamily,recentlySold
7320 Jackson Arch Dr,Mechanicsville,VA,23111,340500,141,3,4.0,2416,2047.32,,2009,1,344100,2460,2025-01-31,townhome,recentlySold
6133 Haleys Mill Rd,Spotsylvania,VA,22551,380000,213,3,2.0,1784,2.13,92782.79999999999,2008,1,399900,2454,2025-01-31,singleFamily,recentlySold
13957 Hollow Wind Way #201,Woodbridge,VA,22191,390000,202,3,3.0,1926,,,2008,1,384600,2733,2025-01-31,condo,recentlySold
18200 Bonneville Ln,Dinwiddie,VA,23841,307000,222,4,2.0,1382,0.9199999999999999,40075.2,1983,1,299800,2073,2025-01-31,singleFamily,recentlySold
24408 Wedgewood Rd,Petersburg,VA,23803,172500,151,3,2.0,1144,1.2303,53591.867999999995,1991,1,178400,1622,2025-01-31,singleFamily,recentlySold
203 Southeast St,Brookneal,VA,24528,147000,142,2,1.0,1032,8176.212,,1954,1,144500,901,2025-01-31,singleFamily,recentlySold
10431 Sylvia Cir,Windsor,VA,23487,425000,160,5,3.0,2656,0.32999999999999996,14374.799999999997,2006,1,425500,2808,,singleFamily,recentlySold
409 Lee St,Blacksburg,VA,24060,334900,355,2,1.0,944,0.25,10890.0,1970,1,331100,1603,2025-01-31,singleFamily,recentlySold
15135 Senedo Rd,Edinburg,VA,22824,395000,274,3,3.0,1440,3.888,169361.28,2007,1,418900,1885,2025-01-31,singleFamily,recentlySold
